"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\customers\customer.repository.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\customers\neighborhood.repository.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\products\categroy.repository.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\products\product.repository.ts", "TypeScript", 0, 0, 15, 0, 0, 1, 6, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\repositories\products\unit.repository.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\auth\login-user.use-case.ts", "TypeScript", 0, 0, 47, 0, 0, 10, 25, 82
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\auth\register-user.use-case.ts", "TypeScript", 0, 0, 46, 0, 0, 10, 23, 79
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\create-city.use-case.ts", "TypeScript", 0, 0, 33, 0, 0, 4, 8, 45
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\create-customer.use-case.ts", "TypeScript", 0, 0, 32, 0, 0, 4, 6, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\create-neighborhood.use-case.ts", "TypeScript", 0, 0, 39, 0, 0, 4, 8, 51
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\delete-city.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 3, 6, 35
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\delete-customer.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 3, 6, 35
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\delete-neighborhood.use-case.ts", "TypeScript", 0, 0, 26, 0, 0, 3, 6, 35
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\find-city-by-name.use-case.ts", "TypeScript", 0, 0, 28, 0, 0, 3, 6, 37
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\find-customers-by-neighborhood.use-case.ts", "TypeScript", 0, 0, 31, 0, 0, 3, 6, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\domain\use-cases\customers\find-neighborhoods-by-city.use-case.ts", "TypeScript", 0, 0, 31, 0, 0, 3, 6, 40
