"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\auth\controller.auth.ts", "TypeScript", 143, 17, 21, 181
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\auth\routes.auth.ts", "TypeScript", 29, 5, 7, 41
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\cart\controller.cart.ts", "TypeScript", 128, 3, 16, 147
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\cart\routes.cart.ts", "TypeScript", 24, 4, 8, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\chatbot\controller.chatbot.ts", "TypeScript", 98, 10, 21, 129
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\chatbot\routes.chatbot.ts", "TypeScript", 22, 4, 6, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\coupon\controller.coupon.ts", "TypeScript", 80, 2, 16, 98
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\coupon\routes.coupon.ts", "TypeScript", 20, 6, 6, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\controller.address.ts", "TypeScript", 70, 6, 14, 90
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\controller.city.ts", "TypeScript", 88, 0, 23, 111
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\controller.customer.ts", "TypeScript", 114, 0, 25, 139
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\controller.neighborhood.ts", "TypeScript", 101, 0, 23, 124
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\routes.address.ts", "TypeScript", 24, 5, 5, 34
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\routes.city.ts", "TypeScript", 19, 3, 5, 27
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\routes.customer.ts", "TypeScript", 24, 3, 5, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\customers\routes.neighborhood.ts", "TypeScript", 23, 3, 5, 31
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\mcp\controller.mcp.ts", "TypeScript", 73, 11, 20, 104
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\mcp\routes.mcp.ts", "TypeScript", 11, 3, 5, 19
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\middlewares\auth.middleware.ts", "TypeScript", 66, 2, 16, 84
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\middlewares\logger.middleware.ts", "TypeScript", 141, 25, 27, 193
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\middlewares\rate-limit.middleware.ts", "TypeScript", 95, 10, 15, 120
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\middlewares\upload.middleware.ts", "TypeScript", 61, 13, 8, 82
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\monitoring\controller.monitoring.ts", "TypeScript", 433, 8, 29, 470
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\monitoring\routes.monitoring.ts", "TypeScript", 18, 2, 5, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\order\controller.order-status.ts", "TypeScript", 137, 11, 28, 176
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\order\controller.order.ts", "TypeScript", 230, 10, 29, 269
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\order\routes.order-status.ts", "TypeScript", 53, 5, 6, 64
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\order\routes.order.ts", "TypeScript", 65, 6, 5, 76
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\presentation\payment\controller.payment-method.ts", "TypeScript", 107, 8, 22, 137
