"filename", "language", "TypeScript", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\create-city.use-case.test.ts", "TypeScript", 99, 0, 0, 0, 32, 28, 159
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\create-customer.use-case.test.js", "JavaScript", 0, 126, 0, 0, 30, 1, 157
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\create-customer.use-case.test.ts", "TypeScript", 145, 0, 0, 0, 31, 32, 208
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\create-neighborhood.use-case.test.js", "JavaScript", 0, 134, 0, 0, 37, 1, 172
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\create-neighborhood.use-case.test.ts", "TypeScript", 142, 0, 0, 0, 37, 36, 215
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\delete-city.use-case.test.js", "JavaScript", 0, 83, 0, 0, 21, 1, 105
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\delete-city.use-case.test.ts", "TypeScript", 73, 0, 0, 0, 21, 23, 117
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\delete-customer.use-case.test.js", "JavaScript", 0, 119, 0, 0, 18, 1, 138
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\delete-customer.use-case.test.ts", "TypeScript", 119, 0, 0, 0, 18, 29, 166
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\delete-neighborhood.use-case.test.js", "JavaScript", 0, 114, 0, 0, 18, 1, 133
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\delete-neighborhood.use-case.test.ts", "TypeScript", 87, 0, 0, 0, 18, 26, 131
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\find-city-by-name.use-case.test.js", "JavaScript", 0, 121, 0, 0, 32, 1, 154
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\find-city-by-name.use-case.test.ts", "TypeScript", 96, 0, 0, 0, 32, 38, 166
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\find-customers-by-neighborhood.use-case.test.js", "JavaScript", 0, 220, 0, 0, 47, 1, 268
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\find-customers-by-neighborhood.use-case.test.ts", "TypeScript", 206, 0, 0, 0, 47, 62, 315
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\find-neighborhoods-by-city.use-case.test.js", "JavaScript", 0, 210, 0, 0, 47, 1, 258
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\find-neighborhoods-by-city.use-case.test.ts", "TypeScript", 172, 0, 0, 0, 47, 59, 278
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-all-cities.use-case.test.js", "JavaScript", 0, 133, 0, 0, 32, 1, 166
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-all-cities.use-case.test.ts", "TypeScript", 108, 0, 0, 0, 32, 38, 178
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-all-customers.use-case.test.js", "JavaScript", 0, 154, 0, 0, 32, 1, 187
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-all-customers.use-case.test.ts", "TypeScript", 153, 0, 0, 0, 32, 41, 226
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-all-neighborhoods.use-case.test.js", "JavaScript", 0, 147, 0, 0, 33, 1, 181
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-all-neighborhoods.use-case.test.ts", "TypeScript", 120, 0, 0, 0, 33, 40, 193
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-city-by-id.use-case.test.js", "JavaScript", 0, 101, 0, 0, 21, 1, 123
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-city-by-id.use-case.test.ts", "TypeScript", 76, 0, 0, 0, 21, 27, 124
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\get-customer-by-email.use-case.test.js", "JavaScript", 0, 118, 0, 0, 24, 1, 143
