"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "JavaScript", "YAML", "Docker", "CSS", "XML", "comment", "blank", "total"
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\category.respository.impl.ts", "TypeScript", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, -13, -45
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\product.repository.impl.ts", "TypeScript", 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, -11, -47
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\unit.repository.impl.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, -9, -39
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\sales\sale.repository.impl.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -1, -8, -36
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\auth\controller.auth.ts", "TypeScript", 0, 0, -77, 0, 0, 0, 0, 0, 0, 0, -20, -28, -125
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\auth\routes.auth.ts", "TypeScript", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -10, -31
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\customers\controller.city.ts", "TypeScript", 0, 0, -88, 0, 0, 0, 0, 0, 0, 0, 0, -23, -111
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\customers\controller.customer.ts", "TypeScript", 0, 0, -114, 0, 0, 0, 0, 0, 0, 0, 0, -25, -139
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\customers\controller.neighborhood.ts", "TypeScript", 0, 0, -101, 0, 0, 0, 0, 0, 0, 0, 0, -23, -124
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\customers\routes.city.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -3, -5, -27
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\customers\routes.customer.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, -3, -5, -32
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\customers\routes.neighborhood.ts", "TypeScript", 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -3, -5, -31
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\middlewares\auth.middleware.ts", "TypeScript", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -1, -21, -57
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\middlewares\rate-limit.middleware.ts", "TypeScript", 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, -4, -9, -85
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\payment\controller.payment.ts", "TypeScript", 0, 0, -266, 0, 0, 0, 0, 0, 0, 0, -19, -56, -341
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\payment\routes.payment.ts", "TypeScript", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -6, -8, -49
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\products\controller.category.ts", "TypeScript", 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, -14, -33, -122
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\products\controller.product.ts", "TypeScript", 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, -17, -31, -133
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\products\controller.unit.ts", "TypeScript", 0, 0, -73, 0, 0, 0, 0, 0, 0, 0, -11, -28, -112
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\products\routes.category..ts", "TypeScript", 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, -2, -5, -25
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\products\routes.product.ts", "TypeScript", 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -3, -9, -35
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\products\routes.unit.ts", "TypeScript", 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, -2, -4, -24
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\routes.ts", "TypeScript", 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, -9, -15, -49
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\sales\controller.sale.ts", "TypeScript", 0, 0, -125, 0, 0, 0, 0, 0, 0, 0, -4, -30, -159
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\sales\routes.sale.ts", "TypeScript", 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, -6, -8, -42
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\server.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, -7, -16, -49
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\user\controller.user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\presentation\user\routes.user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\tsconfig.json", "JSON with Comments", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, -91, -9, -112
"Total", "-", 2, 8864, 4347, 50258, 11, 270, 0, 0, 204, 4195, 1056, 5067, 74274
